_id,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year
6525f3fe35c39ef20d615b38,25307,1070,1,131,44,2,2,2,2,18,71,+16.555,5935641,66,4,1:19.820,194.116,1,2021
6525f3fe35c39ef20d615b39,25308,1070,815,9,11,4,3,3,3,15,71,+17.752,5936838,49,3,1:19.468,194.976,1,2021
6525f3fe35c39ef20d615b3a,25309,1070,842,213,10,5,4,4,4,12,71,+1:03.845,5982931,66,7,1:20.510,192.453,1,2021
6525f3fe35c39ef20d615b3b,25310,1070,844,6,16,8,5,5,5,10,71,+1:21.037,6000123,63,9,1:20.665,192.083,1,2021
6525f3fe35c39ef20d615b3c,25311,1070,832,6,55,6,6,6,6,8,70,\N,\N,63,5,1:20.081,193.484,11,2021
6525f3fe35c39ef20d615b3d,25312,1070,20,117,5,9,7,7,7,6,70,\N,\N,70,6,1:20.460,192.572,11,2021
6525f3fe35c39ef20d615b3e,25313,1070,8,51,7,10,8,8,8,4,70,\N,\N,63,11,1:20.713,191.969,11,2021
6525f3fe35c39ef20d615b3f,25314,1070,4,214,14,12,9,9,9,2,70,\N,\N,54,10,1:20.711,191.973,11,2021
6525f3fe35c39ef20d615b40,25315,1070,846,1,4,18,10,10,10,1,70,\N,\N,67,8,1:20.617,192.197,11,2021
6525f3fe35c39ef20d615b41,25316,1070,841,51,99,11,11,11,11,0,70,\N,\N,68,16,1:21.523,190.061,11,2021
6525f3fe35c39ef20d615b42,25317,1070,817,1,3,7,12,12,12,0,70,\N,\N,40,13,1:21.069,191.126,11,2021
